OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20 
+,63,4867,544,4915,272,6717,3602,7284,3241,7938,9455,6780,7196,9854,9915,2554,5012,8739,252,9610
+,7806,7858,6607,3292,1614,316,1039,9895,6795,7084,6857,3286,7941,7037,6288,5356,3742,7892,6115,2744
+,1571,676,435,8842,4726,9722,8671,2162,2178,9119,4119,9144,6003,5417,8001,524,3997,1298,4331,7970
+,6736,3794,6689,1811,9567,8610,8842,6148,8532,9324,6473,1929,8190,2221,3404,4666,692,8118,2856,8089
+,2017,8776,5295,8677,7827,5270,7684,936,9661,7115,7256,1080,3023,16,4590,1469,9329,9202,5572,1652
+,3969,8128,8213,170,1533,4855,2943,6291,6806,7232,2922,5516,8373,6848,3090,1417,6438,7371,6395,4910
+,7396,3577,2777,2679,3044,9002,5082,8973,5043,2757,7926,2736,9660,3061,9338,3297,5192,5229,7386,1322
+,5524,8649,4231,2301,6530,2752,6841,9235,8786,4823,8284,2657,1798,3119,8178,941,5254,8745,886,8036
-,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1724,4460,15,350,553,3040,9855,7850,5175,329,7412,3498,2268,9913,5956,6365,7025,2918,4917,9423
+,4329,8301,9556,6600,7037,4372,6983,758,1662,7854,9394,1345,3632,7736,9487,3347,8101,3086,6029,9957
+,7731,2401,3950,1879,8641,3100,7189,2802,9764,5978,5064,3998,9905,9804,7237,4695,8606,8509,1165,6092
+,5189,7357,9526,6621,5291,8769,1072,3983,605,8553,7060,2459,6937,4118,1883,530,4864,3119,5537,8448
+,7160,3953,8757,8880,7196,7897,7129,8342,8159,1792,5740,7521,5921,6140,4560,5648,980,6276,5746,8858
+,3000,8458,4659,2989,6728,7379,2263,9246,1607,1045,3344,6259,7356,1879,1577,3626,7798,5017,5177,5916
+,9285,2633,9516,1075,8784,6926,7430,2373,1868,6911,8132,3828,9671,3146,7965,1796,2451,1158,2256,2947
+,28,1283,2168,9694,5351,5768,9918,3434,1228,3675,7830,441,2316,3176,3155,7530,9540,1803,8716,9147
+,7029,1824,2176,1826,9477,1267,9365,7929,40,2021,3989,8252,5838,8563,1517,686,4583,4031,5004,1058
+,1630,1194,7897,9574,4963,3324,3946,2998,4904,2308,7945,3767,1884,2884,1775,114,3318,4797,8171,681
+,2114,7359,3819,4652,9484,5024,2948,4798,3699,2389,2648,6452,899,6098,2735,5904,7363,5523,9418,8654
+,5953,6876,5876,7434,3180,5260,5,596,677,9071,7578,7586,859,1510,6581,1274,5017,5831,8812,958
+,575,9075,4790,9534,4912,1691,3399,2267,2299,9571,7370,265,6881,7529,9342,5611,7333,1723,8047,8178
+,7417,386,8888,7133,6979,8381,6682,2066,8367,52,855,6696,7412,3614,2320,8553,8333,7488,872,3287
+,5537,9572,4958,255,4961,2313,1538,5651,8106,9383,9514,7599,584,7270,5892,5022,4837,3398,6761,276
+,6593,5831,5264,547,1825,4406,3577,2522,4965,2561,2810,9223,3616,2857,5389,2450,7858,4419,5161,5302
-,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,93,3043,6236,4344,509,3443,9342,680,4747,6295,8985,1473,7723,3222,8784,2745,1025,2023,537,8565
+,3708,7712,3362,5206,8851,8887,810,135,2966,9865,1110,842,8506,1874,4318,9198,4828,4578,949,6966
+,6702,1925,6124,1861,5657,3107,9408,7309,2652,1273,6795,3581,7000,7945,2440,1451,2195,8528,8449,5711
+,7588,2973,5450,5763,4678,2014,4323,1437,4834,8794,2001,8208,1236,2015,1620,9990,8529,5629,7541,2147
-,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2643,7645,5316,1971,3861,9863,5602,8394,2212,3513,4163,9259,6134,8413,5192,9211,4936,2010,6489,9364
+,3116,6245,1711,676,8252,7124,371,3078,6589,5747,6012,460,9829,599,6837,6842,446,6301,587,6787
+,9097,4361,9047,9919,8361,3287,72,9543,1888,1344,1616,6055,4643,5545,7125,3131,226,8646,6818,2000
+,1653,1024,7615,4766,9664,7702,8458,6266,8789,3380,8672,7640,8303,8334,1512,3279,2661,1607,4720,9004
+,125,813,2448,8204,4832,6619,7683,6537,216,574,3240,7090,4044,5526,992,186,4853,9489,9848,2836
+,8507,8947,8329,3746,776,7892,3101,2116,9756,9829,8663,7220,2430,4963,1832,6192,6466,6529,8273,2196
+,7942,2282,3743,2526,3355,6652,9645,2326,123,9014,4870,1087,4305,2121,1272,1930,5080,5158,6793,4110
+,3314,7448,1603,3420,2257,3157,6584,8678,6388,6654,2730,4590,165,5085,1002,49,8020,5262,3113,3884
+,5956,8257,1447,9510,6558,5067,9529,3446,4001,7467,3440,2365,9869,7101,5829,5124,4562,9000,5733,8492
+,3124,4211,6975,9951,6666,2466,8262,2595,9477,7467,7841,1965,3897,728,1263,3342,7074,8667,8014,887
+,6683,833,3024,4769,6234,537,3754,6314,1520,8443,5362,3732,3796,4800,6171,9566,2241,428,7688,7678
+,9595,6724,8575,2981,1090,3377,4317,6411,8645,1240,736,9825,3088,2474,4322,1738,3659,6126,1891,2161
+,3949,1434,5097,1758,1944,5059,5560,2532,6865,7513,5414,981,1924,1575,982,2139,7246,9816,7561,2128
+,2224,2337,4038,1370,9225,7697,9842,761,2327,5045,3579,4768,5147,9910,1388,9142,9438,7347,2311,2136
-,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,815,2514,4464,2873,6787,543,7305,1327,1535,5897,790,7770,1474,1494,6233,8269,8350,32,9893,6628
+,9386,2325,1717,9894,8112,6205,1783,9500,4606,7904,8885,9042,6812,7223,9265,9030,2603,4882,2295,127
+,2927,5776,1879,4486,3594,6666,3701,9074,4647,5754,5270,2662,963,3518,900,214,8488,7992,288,4118
+,7903,4921,8321,5162,933,2511,9560,3426,9661,5715,2849,3208,7937,8773,355,894,4884,4961,1951,8101
+,2413,9458,4034,963,9331,2909,2808,8561,4506,1033,307,6986,3615,8605,4131,2752,1622,4373,8602,2552
+,2145,2542,7081,7588,5556,6801,9545,3268,5524,6386,9854,7578,4908,7301,853,1725,7559,8536,5048,1002
+,7701,6865,6276,9297,2731,3987,5470,5003,4746,9958,5733,6562,154,5988,7047,3042,9417,1817,1889,492
+,645,5585,990,5368,4960,9262,7276,4498,8397,1525,5899,8113,7914,9292,4711,7422,162,2183,5968,5788
+,7332,572,2073,5218,6670,8143,636,596,3422,7245,9963,6038,5585,4143,3697,2672,6804,5570,1853,8282
+,8169,1878,2111,1323,4191,2591,3501,3627,5839,4324,3531,9391,3685,4646,390,2305,8335,9045,2839,448
+,6979,5029,2246,3090,4900,3113,6764,6173,2113,7496,3402,9196,7908,8819,9146,6898,4561,1149,9729,5336
+,3713,4543,8422,6983,3285,6277,1935,1874,2796,4401,1138,629,3957,6058,6722,7427,517,2958,4385,9127
+,8770,2758,4318,9967,2431,7895,5963,9827,257,2017,5282,1330,6825,7307,8782,7431,1070,9080,3026,5012
-,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4391,9752,612,4118,6479,2187,8423,493,4051,5625,7599,5652,9693,399,1606,6663,5850,933,5001,7165
+,7605,895,2029,8757,9372,4373,5984,6810,4620,5014,3129,1861,4277,2327,3297,2994,1374,6167,7469,3337
+,7767,9542,9132,9205,98,6278,1300,2495,2888,9589,9601,2680,9376,1721,2954,6343,4262,814,4940,5581
+,3500,3138,8851,8446,3044,7916,1378,7728,6763,3287,4039,5042,1540,1580,8718,9519,981,427,6052,2701
+,7361,9016,4659,972,7576,3621,6881,5760,3215,4649,5788,3939,6275,6572,8181,6623,301,6389,822,6901
+,1614,3022,8886,2875,1356,8827,9347,2470,8842,3683,4365,5325,3747,7296,5872,7721,5601,1992,5788,909
+,4162,9446,8156,4837,6029,6196,1090,7312,2374,8776,5481,9759,7759,7343,7757,1598,8405,3004,2256,6481
+,4839,3818,3076,4417,257,401,5497,1,642,6560,6240,5390,6525,7972,8076,8795,9141,8557,191,1337
+,2802,7067,6362,4060,5657,9533,7922,1064,3152,7786,2542,3069,4920,879,5899,1305,3961,295,4272,3257
+,5864,6706,4349,4776,5737,4012,379,5258,3764,1024,7645,4967,272,3506,3921,9755,327,9399,2867,7029
+,1838,4884,6718,5424,1474,110,597,2175,9013,7027,1140,4033,4307,7305,9594,4221,306,4798,8412,2218
+,2961,2963,8315,166,6493,1000,879,1118,40,1184,6561,3825,5095,845,7353,2672,4071,5677,9115,5065
+,2421,9134,733,5055,1907,2851,2848,4810,2088,88,2662,381,6335,7466,1558,5581,6522,2131,2990,9004
+,9139,5523,5405,8928,9547,8658,7338,5059,1087,4157,5056,31,1142,4145,6335,9846,6915,1569,2927,8741
+,3507,3772,7155,1620,7691,6785,6555,7557,6508,2932,928,1219,1177,3759,9494,8082,9533,1192,6906,7057
+,6504,667,5478,430,2030,2445,4162,1082,8021,8983,162,1760,6542,9632,6892,4044,6250,4263,8687,2986
+,3332,7593,6533,1334,4722,1198,931,9594,8272,1148,5684,1019,9033,7991,9893,3573,2495,3511,3225,744
+,4312,3790,9837,864,7623,7293,614,21,5359,8036,9604,2000,2579,5151,9715,2433,9164,7353,9449,3331
+,7317,2810,1876,4323,6921,1608,5964,8983,4217,8869,2806,5718,8288,5362,9407,8992,283,3467,6472,7453
+,2507,884,5072,6542,6532,4343,7189,3452,4321,2836,9931,1761,8756,7654,4553,5390,4463,3440,9925,2244
+,1872,9885,3168,5538,793,2155,5934,6021,1332,8891,8992,2152,6851,8098,3873,979,8530,671,1846,6050
-,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7727,3329,6699,1079,9617,6929,6830,5000,1940,1059,6036,7704,772,4596,1193,56,2557,3809,4429,5685
+,9199,7608,7,1516,6182,2865,1501,8092,4461,7606,7026,9904,2550,4845,7344,5649,1055,500,9654,7130
+,677,8769,5846,3239,8112,7459,4852,278,6083,5842,2063,1770,5070,3387,4274,5043,1138,4703,7317,665
+,55,1470,8542,1675,4131,8968,682,65,4880,5582,3340,3133,5585,2437,8901,2948,2627,2823,6720,516
+,6823,5697,2088,4236,6851,5897,9888,2930,9784,7388,4235,5878,5425,3144,2231,4504,7976,7437,9607,9534
+,9798,1775,519,2669,1815,1390,9922,3328,9122,8061,4503,2168,8538,2244,311,3174,3516,8916,2104,1601
+,1617,2775,2695,454,4166,9923,1942,4724,1258,366,4606,3259,5110,9193,7621,3698,2815,2279,283,8245
+,3039,2339,3242,7678,7026,8937,262,3205,8887,1023,3485,8322,9522,9985,1599,5123,2228,5123,257,934
+,5648,5768,1416,3214,5196,9553,8065,4171,5806,3310,7272,1817,4673,2359,8539,7790,1883,3190,8551,4533
+,6252,211,7585,1164,1178,1833,6426,6601,4185,2451,3707,7957,7994,5211,7286,8977,3513,5714,8759,7371
+,4258,9130,6219,2533,804,5510,8766,1203,914,3538,3300,913,4197,2160,482,9103,7575,368,3736,8030
+,5516,8293,5692,5054,2317,7188,6757,2540,9311,6869,5138,8222,2455,5921,2699,1474,4439,1232,1873,7764
+,3599,2099,8736,1887,9674,5603,1923,4132,1765,1701,5295,1497,4660,4111,5773,6374,1406,5745,7074,5075
+,6871,1709,1373,5547,9312,9754,6200,9159,472,95,4955,8111,775,2657,7384,7903,8613,5708,7412,5003
+,2334,4209,4830,7666,9441,9499,7490,8335,2542,5931,442,8781,1896,8029,7114,6298,4434,5792,4929,5674
+,6994,4836,3785,6512,8157,6231,4852,7700,4085,8881,5391,3393,209,9942,6439,2978,4830,3542,7508,2181
+,845,9786,4188,5725,7441,7557,8083,3305,161,598,5835,3569,305,6549,5619,4330,495,3960,3788,1555
+,6300,4581,440,1255,2721,9797,6779,1398,3622,3118,5487,4669,7893,2090,5286,1062,2973,6469,501,3436
+,2002,3435,4124,6524,8500,9080,4001,7416,3865,7897,4808,2278,1310,5730,4163,2050,6050,2365,8549,4179
-,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6839,5271,2782,8880,9876,7695,2758,5237,1576,1975,1764,3687,354,5343,3622,672,9997,8722,8162,9128
+,1194,2995,7202,4580,1310,3390,9516,4509,2719,306,3803,6590,5979,3321,7214,6025,8084,5431,410,446
+,746,3146,6159,9100,1830,6495,8525,6557,7091,195,9621,7187,9628,9416,8545,4722,6149,3983,1079,5148
+,6323,6487,1510,6097,1026,9745,3162,9573,1855,8698,3671,8430,9951,6571,9241,2118,6211,4941,1247,1775
+,9387,7720,8541,8858,3875,189,8001,461,9382,7060,1039,5778,7964,7083,5188,2160,8799,1994,1384,8697
+,5633,3242,9659,8548,2374,3075,2393,1202,602,134,4113,3901,4426,2918,3724,9822,4333,4325,3748,2934
-,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,252,4525,3623,7367,7910,585,3280,4143,9808,3391,2272,9571,2920,1261,3253,765,8006,5351,7956,1879
+,3546,1076,8692,7762,3778,5982,5947,6670,5125,6624,4055,10,8727,6357,1807,65,6817,7571,3115,7781
+,4109,9057,7413,5039,8336,4019,4683,3110,2101,9954,8618,108,1565,4215,3033,4576,6454,6935,2759,2342
+,1802,4117,8190,5159,960,653,3725,7457,926,9533,4342,3093,148,6959,4213,8255,2163,9302,4723,6836
+,6486,8777,5363,5975,9285,4270,2232,6059,6292,9519,1598,9848,4319,2983,6094,8428,499,462,1187,118
+,3093,185,206,8809,3977,4610,2764,7966,895,4559,6837,8101,49,4756,8332,6468,782,9006,4153,8491
+,5411,1565,424,6529,4683,3868,720,3822,7013,3322,9924,896,4778,631,2540,236,4612,3299,4434,2551
+,3256,6806,1722,6392,8027,8467,524,4390,8746,8892,5849,1861,7985,4216,8837,1003,47,2773,8761,4986
+,6846,8224,7800,3112,3963,9804,5194,2020,7230,9151,1901,46,9103,8790,1804,1825,8490,5108,6998,3488
+,2645,8561,8964,1669,4332,5770,6943,7503,1140,6819,8149,2870,2387,6697,5307,2560,4936,2358,8821,6777
+,9879,6595,9838,60,9637,8143,9416,4939,5630,5844,7833,5228,9292,5252,9429,7683,72,5370,2522,2246
+,9525,8985,4306,7933,1227,9874,4790,3901,2990,7846,1397,9053,8233,2370,6183,5981,1911,9673,3614,3384
+,9119,5682,1196,3708,1348,2850,1225,3244,8135,7322,8757,6503,1969,1513,8282,9138,6875,3390,8832,4803
+,3281,3457,5522,5744,8423,3615,3496,5627,3978,3951,9114,7703,6478,6129,8873,430,2507,6214,6746,102
+,2848,1854,9784,1171,7790,4229,9208,4443,6714,5159,7103,1819,2380,7496,2391,1528,1011,5793,7402,2694
+,6123,5864,3380,9836,5649,7011,775,4514,8425,1841,5069,6320,5381,4672,1101,2610,9978,8068,3647,260
+,643,4104,1885,7101,7343,1269,812,8280,1076,1685,6583,5293,7939,5113,5308,2567,7478,1761,9231,2692
+,3606,8227,2317,6899,6128,1791,1012,8365,6175,9840,9385,9811,2278,7532,5916,8841,7881,8983,3159,539
+,5906,6426,706,1869,9263,6521,816,1147,5078,3363,3759,7665,7611,6443,3411,983,6399,8502,3338,6244
+,6067,6215,2816,860,4659,700,7710,2690,2066,9358,4034,1454,3733,7127,5317,2258,9555,6217,884,9319
+,6405,7181,7813,898,9950,1231,7676,7304,9538,56,7606,4912,3470,2256,4600,7009,8378,3951,1721,8320
+,1239,5689,6873,5297,1498,9974,5227,8120,942,8947,4048,6421,7842,6512,2376,3802,445,5412,7524,3091
+,392,948,9723,1956,8402,5091,9333,8427,1651,1823,9243,5862,164,9134,3657,3632,2968,7686,2198,3842
+,9406,6325,3457,9691,8617,9796,2466,6291,8217,8127,9661,1275,4613,8335,9545,1081,5634,5999,5999,2423
+,7970,6787,7004,4894,8435,3411,4468,6351,8175,899,4059,6776,7393,4971,913,7088,1148,7096,6668,1566
+,2525,4194,2909,5577,3935,3818,9632,3034,8608,8462,9172,1641,4545,1942,2402,3088,5438,1966,2687,2810
+,7184,8211,7884,1015,4416,6641,4390,8264,7832,7208,6137,9718,7809,7571,1172,7193,1896,4624,816,4529
+,5271,7299,7392,3505,1446,1177,7634,2328,1572,9051,5895,7821,867,8705,289,3009,1402,9889,7842,243
+,8462,4127,3242,7257,3360,9411,4107,3825,4762,1429,9571,4646,8817,6611,2633,8898,2619,9614,1898,1304
+,5702,8394,4131,5445,1709,4910,8143,383,6324,5632,1224,281,20,8808,2101,1414,6503,8062,4864,2131
+,5242,8201,4379,5593,3611,6511,9625,5346,2455,9454,5278,3424,5969,4582,8500,432,8925,340,3360,7177
+,2878,9315,5864,6568,2919,3212,5341,3915,6071,1307,3431,2389,8424,4896,6675,239,5172,168,8226,3200
+,294,3885,9398,1867,6365,7442,9015,536,7793,2554,6772,2570,7020,5983,8713,3600,668,9698,3286,634
+,9205,6837,8381,1519,9723,4049,4076,9789,1801,9214,9807,821,9543,5982,993,6758,3984,3706,1473,4125
-,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4815,8176,6304,6459,1612,9362,3697,4086,993,3678,9994,6376,6080,3782,3969,921,9684,4203,1557,3062
+,9605,7022,8136,1521,4889,7492,2666,819,8519,4968,9188,9305,3079,7813,6314,5018,9612,1455,1518,8411
+,9591,6417,1974,8865,4872,3112,2522,9959,6533,6473,7179,9750,2287,5058,5994,772,4927,6934,5728,8841
+,8469,4736,4504,5933,3277,3304,2411,4644,8791,7184,6598,1153,2707,8303,3582,9605,6538,866,3921,8942
+,608,630,4203,5284,3913,6308,2545,5854,4241,723,4695,9601,6049,4585,2395,6207,9380,4475,5301,5381
+,7511,9757,4735,5971,3345,122,7225,6803,998,5720,4826,7830,9193,7876,5402,2522,2725,9846,9667,2501
+,1598,1450,574,6790,1388,5861,5742,266,7900,8519,1125,3885,3275,2881,877,1015,5534,376,5683,4489
+,3391,3960,2908,7960,5624,7968,8713,6958,7179,2502,3038,9642,6671,613,8259,7234,4588,5978,7920,1956
+,9811,2482,2957,342,5536,1884,8085,4091,5252,2592,4264,4432,7545,6944,4093,7903,3221,629,4095,2388
+,8115,3417,4008,1419,273,7530,2552,7005,1856,2186,700,8592,7388,4320,2674,8213,6125,308,2780,6756
+,9221,1746,2140,8193,7496,3579,4250,3876,899,56,3748,207,1195,5936,5852,552,9175,2794,74,1023
+,4188,347,3287,9200,8642,3441,4404,2367,1515,4184,4666,7489,4553,5086,6454,343,8341,7192,6729,3315
-,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8563,2544,1340,9107,7396,1039,855,6490,2412,7147,1148,673,2978,5256,2635,2025,7484,6438,1585,6195
+,3321,6238,6569,8001,7938,1567,3317,4059,7566,3611,8505,5605,2990,9941,2551,1151,4815,8649,2290,3064
+,7976,8178,5814,2548,1853,3319,6142,1288,2671,7258,1562,1531,825,5858,6375,5417,9686,2043,811,8358
+,3296,6418,3263,4987,890,3446,9365,5518,3212,1810,506,7335,1221,893,281,4196,60,2612,1340,8534
+,5829,755,7895,2014,9156,4660,9849,1843,1902,7206,6802,2894,3722,1803,3792,5995,5207,1833,4185,7576
+,4097,9950,4621,3451,3716,6810,8892,4159,8911,6276,9206,2087,2818,131,2757,1549,9501,353,2498,7493
+,3074,8274,4936,8226,4979,2702,709,6897,96,4205,9918,8558,7127,9346,2527,5311,3348,4954,9207,1931
-,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4245,6028,6801,3631,9165,9805,2266,4700,2634,9215,3570,3406,1235,6649,4420,9672,8755,1805,1562,7821
+,209,8462,4572,1023,9299,2365,7638,1164,5427,3392,5434,718,5314,9058,7578,6770,5393,9393,2127,5435
+,9654,1988,8939,8464,5189,4816,5261,4717,3863,3834,4854,6369,156,3690,5297,8579,2248,4904,2079,2742
+,8603,7787,8078,9579,347,8502,8321,1756,5382,2290,7086,3051,1523,1749,7391,7273,1682,2421,8942,5110
+,9700,4157,629,8157,7640,4415,6587,4008,9756,9372,1015,9734,1491,1120,8572,4081,5556,9222,2707,6463
+,5288,2538,8143,9532,9307,9992,669,6006,4528,8630,2321,5813,2489,4910,6436,781,480,2346,5930,7799
+,8238,1356,282,2547,6752,4837,587,3872,4314,3500,6452,5487,5084,7823,8666,6748,2734,3271,4236,1909
+,520,6251,4323,8182,235,9429,7264,8631,7226,4928,3012,8651,3145,3630,1296,855,3130,245,6019,6850
+,1973,304,2324,9670,8150,3242,6455,4158,4831,2382,1816,1862,2224,9351,6634,4442,9345,1939,7274,2797
+,2338,5856,219,3041,3719,701,2534,9933,4849,3185,5551,728,5021,478,5990,5651,9653,9342,790,6799
+,5872,7107,4593,4772,4535,9198,2648,9140,9679,1816,3717,3687,8326,884,4810,3385,8416,3406,4599,9782
-,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2621,135,2295,9122,852,1663,8827,544,638,9559,9730,2795,8104,2472,7967,8313,5508,1749,9453,9051
+,3463,3129,2547,9196,7824,67,2632,821,3451,4553,3941,1600,933,2688,9605,5015,6023,5773,4479,20
+,9723,1019,8598,6635,4029,5296,6790,1663,6903,8935,3463,6318,3465,656,7879,1246,2526,3069,6379,9061
+,9468,1230,6431,3598,9552,346,1351,6584,5038,1071,9670,2693,5951,4128,3988,7560,1604,7130,832,736
+,7784,6638,4484,8754,4423,2938,2582,9737,6110,7003,2522,3331,6204,3610,7686,838,3362,6151,1397,7476
+,1325,7930,3988,6463,9417,9634,9963,1684,6670,8893,7816,8373,8648,4153,9034,5948,7598,111,5801,9525
+,3312,1777,9165,4707,7185,7645,9647,271,2144,9516,9281,3823,6586,1326,4140,1932,1898,6079,7001,9353
+,9349,4900,7976,6856,7746,8047,4763,496,3039,5238,2664,4285,6243,2002,6012,1267,9653,6207,8153,1361
+,8348,7520,7088,2675,5037,7062,6766,6950,2505,1551,6570,4432,3733,3539,1942,2424,8990,1165,3640,7071
+,7475,6585,724,9172,4876,8023,8825,2421,7593,8039,9228,5583,64,9776,3300,1708,6223,6948,5902,5819
+,1738,507,5792,9636,92,5447,5244,6504,7949,6684,901,1420,2351,8275,5875,4845,2929,9375,2245,4344
+,7642,8101,7270,2061,1972,6701,6946,9887,2447,934,2408,9245,2438,9133,3723,6720,5243,8250,6632,808
+,854,9917,5786,8426,2670,1670,6437,4552,3439,6496,6419,8767,4410,6563,4640,6765,401,7972,4944,5326
+,7014,6643,4604,5241,1315,4236,9393,4247,4623,9760,1176,3104,4590,1672,9454,6495,9245,1354,1763,452
+,8521,6492,9637,9258,3030,2696,1162,5768,3016,1491,5498,1381,4390,5921,2204,3752,3026,4008,3957,3050
+,7670,7414,4997,4685,1762,6654,6369,3683,2237,8915,26,794,7520,5798,7567,8140,5140,164,5498,7173
+,1950,6535,3952,3057,884,9022,22,2631,1814,1534,649,9790,2711,195,2181,8109,2300,7109,2685,1525
+,6984,7080,1108,9677,2411,6854,1683,7598,4318,162,4938,119,2722,6806,9614,6098,9536,7693,9126,4687
+,2299,5713,2270,6738,2828,4725,929,2809,3149,6914,6837,1844,779,2763,3129,7671,1986,8636,689,3082
+,3677,8305,2337,1490,7800,3342,9279,8235,3664,5322,860,7180,7323,7544,8677,1268,2589,3830,653,5752
+,3638,5767,256,9992,7620,7561,7977,616,9993,830,410,5336,7976,7153,5589,8092,3099,5241,6403,668
+,2732,4871,2895,3857,6993,2622,1631,8881,2003,4172,2535,6144,6675,447,3852,6774,484,8572,5933,5753
+,3072,7434,4083,1665,8368,3952,3830,6829,9663,9613,4306,1724,4353,2084,6941,2944,930,8189,5159,1863
+,1757,9580,7156,6359,9737,5573,6086,3809,1480,2224,9186,3622,5683,2284,1867,4928,1135,6247,8722,8678
+,8506,7223,8280,8148,1418,3081,1663,2661,6269,2845,55,3868,343,5421,2193,6911,6182,496,7256,3240
+,3893,2135,2651,4091,1900,604,7934,6348,9841,4435,4961,2793,3686,5805,8394,9470,3479,8353,5983,2982
+,5805,6300,8620,9465,6769,7709,1410,7871,5171,5319,6809,2270,3539,59,30,5370,2186,275,2765,5834
+,7469,1537,3338,3712,6344,598,5401,5954,6570,5067,4894,440,6556,2409,6741,4928,5285,7433,3910,4403
+,4626,8373,7055,4701,4014,65,4239,3493,9062,9169,4237,6516,856,1764,8072,9933,3779,551,888,3928
+,8007,4356,102,4654,8791,7415,1764,5242,1256,269,6908,2622,6689,4709,9808,979,7523,5485,3668,4180
+,2084,139,9701,6670,9491,5159,9838,2050,829,7882,8986,6586,1960,5698,6893,7859,8701,229,6846,5522
+,1851,9928,5717,2188,2159,7838,4009,6077,2739,1070,2328,49,6030,8274,8527,8595,7656,5398,2343,8098
+,5598,9831,7577,2605,1594,9333,7470,8567,6489,2406,2944,1005,9256,5129,5868,1896,5027,2667,9642,320
+,3721,2126,8977,5215,5732,3707,7309,3590,1612,6914,6466,1411,213,170,5432,5177,1164,614,2867,376
+,9835,4444,953,4100,9552,3441,3821,3296,4875,5808,5305,8392,5158,5310,7430,7064,711,3821,1421,5242
+,5656,1243,8717,9199,4410,7109,2598,4239,1158,1396,4802,2535,8709,4812,5623,4260,499,6678,6498,7632
+,4384,8439,5820,904,9282,204,7130,5036,3469,1114,149,9744,3750,1269,9584,9099,1747,7943,1851,7621
+,9754,3933,9966,4711,2083,1665,9232,6197,5612,5916,3788,7108,1942,9136,2363,4322,1163,196,5573,101
+,9151,6644,4390,2201,9506,8396,5281,1430,4983,9261,6259,576,7513,1566,7786,3046,2382,8425,7330,4497
+,764,248,3350,3449,639,9563,1315,2514,9291,1250,3699,3548,6553,3044,8864,1086,599,7820,761,5836
+,8649,1000,2071,9297,9679,7954,5258,3370,9978,3085,194,1209,3637,5631,8563,7043,5469,4730,8237,2567
+,4083,8674,8833,4522,8180,9676,1404,3785,4588,1873,3089,830,8733,334,9191,8649,2925,6162,1512,9102
+,2603,6525,7892,637,7275,6199,6909,5211,1772,1002,4479,3502,4856,2166,2085,9682,8748,3676,9668,540
+,8788,8259,2374,2084,8683,8979,7498,3791,3950,2110,8457,7931,9503,2719,5129,1282,6251,9269,35,6381
+,7461,618,8042,6303,2682,9102,1158,273,2635,5156,1187,8546,8650,7297,6116,4252,1493,1493,6696,3472
+,3655,1713,1451,5519,6782,4783,1865,5243,9229,6708,4137,1984,5833,4710,154,8268,9347,6497,4929,807
+,7861,4884,1437,4547,1656,2185,2571,3419,9683,9601,6497,5886,2587,5093,4894,9606,2642,9252,72,7035
+,469,2376,1296,3858,2476,3914,8931,964,2739,5739,9922,6513,1959,7728,5231,3235,1242,8259,1966,7420
+,4800,5329,9493,3703,9831,9426,6662,2803,3617,3471,3182,2351,4448,265,347,6360,9329,6532,7196,1590
+,2739,3993,3046,6304,4291,8379,5411,6301,9636,8597,9263,7850,5801,9673,1509,4185,1378,3773,4315,9455
+,7116,1217,9321,8987,221,4101,4834,100,3171,3521,1503,1458,6772,729,2890,6323,4142,6835,5571,523
+,5810,3050,115,7811,4691,3844,2428,2059,7902,8807,3676,1203,9875,9431,4992,1069,3200,1082,5451,11
+,6457,9723,4311,8715,6314,5901,9637,5815,6499,1606,9316,8131,5811,6711,1903,5803,8332,9077,350,630
+,5421,9549,683,6641,4758,3866,636,1073,2781,2180,3808,4107,2779,3317,400,6265,1300,979,9306,1602
+,3076,2873,1110,9044,2953,2246,5495,8019,9372,317,3854,9077,1737,8342,3627,1688,6242,3838,9971,137
+,1566,4211,6204,2433,2120,3630,3551,3436,9183,656,8913,8363,9055,9973,1315,7119,1560,9158,9795,3781
+,7507,4477,4792,352,2803,5284,3933,1088,9322,3837,8182,7377,8912,8622,734,1188,2382,8651,8516,869
-,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
